titulo,empresa,ubicacion,salario,tipo_contrato,skills,busqueda,modalidad,ciudad,salario_min,salario_max,salario_medio,es_outlier
ingeniero/a de datos - azure databricks,cas training,100% en remoto,33.000€ - 45.000€ b/a,indefinido,"python, azure, databrikcs",machine-learning,En Remoto,100% en remoto,33000.0,45000.0,39000.0,False
arquitecto/a de datos (sector bancario),michael page,madrid (híbrido),,temporal,"snowflake, aws, data lake",machine-learning,Híbrido,madrid,,,,False
"data, analytics & genai - entorn internacional",accenture,barcelona - españa,,indefinido,"aws, azure, gcp",machine-learning,No especificado,barcelona,,,,False
ia senior engineer,michael page,madrid (híbrido),48.000€ - 72.000€ b/a,indefinido,"java, python, r",machine-learning,Híbrido,madrid,48000.0,72000.0,60000.0,False
computer vision engineer (ia),page personnel,barcelona - españa,,indefinido,"python, pytorch, c++",machine-learning,No especificado,barcelona,,,,False
senior fire scientist (python + ia),michael page,100% en remoto,48.000€ - 76.000€ b/a,indefinido,"python, r, arcgis",machine-learning,En Remoto,100% en remoto,48000.0,76000.0,62000.0,False
google cloud platform devops engineer,santander,madrid - españa,,indefinido,"docker, kubernetes",machine-learning,No especificado,madrid,,,,False
jefe de proyecto - plataforma cognitiva,cajamar tecnología,almería (híbrido),,indefinido,"pmp, prince2, scrum master",machine-learning,Híbrido,almería,,,,False
full stack ai engineer,ust,madrid (híbrido),,indefinido,"python, react, fastapi",machine-learning,Híbrido,madrid,,,,False
data & cloud architect - microsoft fabric,akkodis,100% en remoto,,indefinido,"microsoft fabric, sql, azure",machine-learning,En Remoto,100% en remoto,,,,False
robotics & process automation engineer,michael page,barcelona - españa,,indefinido,"abb, sepro, plc",machine-learning,No especificado,barcelona,,,,False
cloud engineer,devoteam,100% en remoto,,indefinido,"aws, eks, kafka",machine-learning,En Remoto,100% en remoto,,,,False
ingeniero/a de ia,michael page,sevilla - españa,48.000€ - 60.000€ b/a,indefinido,"python, r",machine-learning,No especificado,sevilla,48000.0,60000.0,54000.0,False
ingeniero devops,devoteam,madrid - españa,,indefinido,"ci/cd, terraform, ansible",machine-learning,No especificado,madrid,,,,False
pre-sales ai expert,ust,madrid - españa,,indefinido,presales,machine-learning,No especificado,madrid,,,,False
"ingeniero/a ia generativa python, langchain, rag",grupo ns,madrid (híbrido),24.000€ - 33.000€ b/a,indefinido,"python, docker, ci/cd",machine-learning,Híbrido,madrid,24000.0,33000.0,28500.0,False
simulation software engineer,airbus,madrid - españa,,indefinido,"c++, python",machine-learning,No especificado,madrid,,,,False
simulation software engineer (tadvs4),airbus,madrid - españa,,indefinido,"c++, python",machine-learning,No especificado,madrid,,,,False
simulation software engineer specialized c++,airbus,madrid - españa,,indefinido,"c++, python",machine-learning,No especificado,madrid,,,,False
scientist responsible ai,santander,madrid - españa,,indefinido,"python, pytorch, tensorflow",machine-learning,No especificado,madrid,,,,False
desarrollador/a react (con inglés),devoteam,madrid (híbrido),,indefinido,"react, react native, cloud",machine-learning,Híbrido,madrid,,,,False
programador/a business central,michael page,córdoba (híbrido),,indefinido,"business central, erp, business intelligence",business-intelligence,Híbrido,córdoba,,,,False
consultor/a funcional business central,lãberit,a coruña (híbrido),,indefinido,"dynamics 365, business central, navision",business-intelligence,Híbrido,a coruña,,,,False
director/a de it (servicios b2b),michael page,barcelona - españa,,indefinido,"business central, power bi, cloud",business-intelligence,No especificado,barcelona,,,,False
amazon vendor & seller,page personnel,barcelona - españa,,indefinido,"amazon business, amazon advertising, excel",business-intelligence,No especificado,barcelona,,,,False
project manager it,michael page,zaragoza - españa,,indefinido,"navision, business central, api",business-intelligence,No especificado,zaragoza,,,,False
kam amazon,michael page,barcelona - españa,,indefinido,"amazon business, excel, power bi",business-intelligence,No especificado,barcelona,,,,False
consultor/a junior it - septiembre,deloitte,zaragoza - españa,,indefinido,"dynamics 365, business central, power bi",business-intelligence,No especificado,zaragoza,,,,False
business intelligence sap bo consultant,grupo digital,barcelona (presencial),,indefinido,"sap bi, sap",business-intelligence,Presencial,barcelona,,,,False
"project manager si (erp, mrp, crm)",social you,martorelles - barcelona (presencial),45.000€ - 54.000€ b/a,indefinido,"erp, crm, mrp",business-intelligence,Presencial,martorelles - barcelona,45000.0,54000.0,49500.0,False
senior data architect (azure + databricks),globalsysinfo,barcelona (híbrido),30.000€ - 60.000€ b/a,indefinido,"azure storage, azure data factory, databricks",business-intelligence,Híbrido,barcelona,30000.0,60000.0,45000.0,False
consultor/a de estrategia y transformación,digital talent agency,a coruña (presencial),30.000€ - 36.000€ b/a,indefinido,"excel, power point, power bi",business-intelligence,Presencial,a coruña,30000.0,36000.0,33000.0,False
consultores y especialistas microsoft dynamics 365,serem,madrid - españa,,indefinido,"dynamics 365, power platform, cloud",business-intelligence,No especificado,madrid,,,,False
analista desarrollador/a bi,sopra steria,madrid (híbrido),,indefinido,"bi, sql, etl",business-intelligence,Híbrido,madrid,,,,False
frontend developer (html/css) - diseño responsive,knowmad mood,baleares (presencial),,indefinido,"html5, css3, wcag",business-intelligence,Presencial,baleares,,,,False
analista hub digitalización/diseño de procesos,cajamar tecnología,almería - españa,,indefinido,"power bi, sql, rpa",business-intelligence,No especificado,almería,,,,False
jefe de proyecto de banca digital,cajamar tecnología,almería (híbrido),,indefinido,"power bi, pmp, scrum master",business-intelligence,Híbrido,almería,,,,False
personal técnico proxy po,cajamar tecnología,almería - españa,,indefinido,"qlik, power bi, obiee",business-intelligence,No especificado,almería,,,,False
project manager,hays,madrid (híbrido),,a determinar,"office, excel, powerpoint",business-intelligence,Híbrido,madrid,,,,False
ba servicenow,michael page,madrid (híbrido),54.000€ - 72.000€ b/a,indefinido,"sap, hana, servicenow",business-intelligence,Híbrido,madrid,54000.0,72000.0,63000.0,False
ingeniero de ciberseguridad - sds,santander,madrid - españa,,indefinido,"ciberseguridad, cis, csa",business-intelligence,No especificado,madrid,,,,False
mobile developer (android & ios),page personnel,barcelona (híbrido),,indefinido,"android, kotlin, java",business-intelligence,Híbrido,barcelona,,,,False
qa manager and automation lead,ust,madrid - españa,,indefinido,"quality assurance, java, javascript",business-intelligence,No especificado,madrid,,,,False
analista funcional - negocio y rentabilidad,cajamar tecnología,almería (híbrido),,indefinido,"excel, power bi, sql",business-intelligence,Híbrido,almería,,,,False
jefe de proyecto - etl y arquitecturas cloud,cajamar tecnología,almería (híbrido),,indefinido,"devops, ci/cd, power bi",business-intelligence,Híbrido,almería,,,,False
técnico de datos - etl y arquitecturas cloud,cajamar tecnología,almería (híbrido),,indefinido,"etl, sql, azure",business-intelligence,Híbrido,almería,,,,False
coordinador/a de servicios (ciberseguridad),aubay,barcelona - españa,,indefinido,"ciberseguridad, isms, iso",business-intelligence,No especificado,barcelona,,,,False
freelance power bi - remoto - 10h/semana,michael page,100% en remoto,,temporal,"power bi, dax",business-intelligence,En Remoto,100% en remoto,,,,False
data analytics consultant,accenture,madrid - españa,,indefinido,"sql, qlik",business-intelligence,No especificado,madrid,,,,False
consultor/a financiero,baoss,madrid (híbrido),,indefinido,"erp, power bi",business-intelligence,Híbrido,madrid,,,,False
consultor/a de credit management,baoss,madrid - españa,,indefinido,"power bi, qlikview, cognos",business-intelligence,No especificado,madrid,,,,False
consultor/a internacional (inglés + idiomas),apeiron sumus,barranco grande - sta. cruz de tenerife (presencial),,indefinido,"azure, microsoft office, power bi",business-intelligence,Presencial,barranco grande - sta. cruz de tenerife,,,,False
analista funcional - reporte regulatorio,cajamar tecnología,almería (híbrido),,indefinido,"power bi, sql",business-intelligence,Híbrido,almería,,,,False
técnico de datos etl y arquitecturas cloud (hub),cajamar tecnología,almeria - almería (híbrido),,indefinido,"powercenter, talend, etl",business-intelligence,Híbrido,almeria - almería,,,,False
microsoft dynamics 365 developer,serem,madrid (híbrido),,indefinido,"dynamics 365, power automate, dataverse",business-intelligence,Híbrido,madrid,,,,False
técnico de compliance it y seguridad,baoss,madrid - españa,21.000€ - 45.000€ b/a,indefinido,"magerit, octave, nist",business-intelligence,No especificado,madrid,21000.0,45000.0,33000.0,False
senior manager of software development,amazon,barcelona - españa,,indefinido,agile,business-intelligence,No especificado,barcelona,,,,False
crm manager fluent in english,page personnel,barcelona (híbrido),,indefinido,"salesforce marketing cloud, jira, tableau",business-intelligence,Híbrido,barcelona,,,,False
responsable de producción - montaje final,michael page,álava - españa,,indefinido,"mes, power bi, lean",business-intelligence,No especificado,álava,,,,False
líder banca digital,cajamar tecnología,almeria - almería - españa,,indefinido,"pmp, itil, scrum master",business-intelligence,No especificado,almeria - almería,,,,False
project control services practitioner,cmv consultores,100% en remoto,27.000€ - 33.000€ b/a,indefinido,"atlassian, jira, confluence",business-intelligence,En Remoto,100% en remoto,27000.0,33000.0,30000.0,False
tecnico cumplimiento normativo-prevención fraude,cajamar tecnología,almería (híbrido),,indefinido,"data warehouse, data lake, data fabrik",business-intelligence,Híbrido,almería,,,,False
senior infrastructure delivery manager,epam,málaga - españa,,indefinido,"microsoft 365, m365, windows",business-intelligence,No especificado,málaga,,,,False
crm manager fluent in english,michael page,barcelona (híbrido),,indefinido,"salesforce marketing cloud, jira, tableau",business-intelligence,Híbrido,barcelona,,,,False
data management platform (cde) lead/owner,axpo group,madrid (híbrido),,indefinido,"autodesk forma, dalux, trimble",business-intelligence,Híbrido,madrid,,,,False
analista datos sr con discapacidad,page personnel,madrid (híbrido),36.000€ - 54.000€ b/a,indefinido,"sql server, power bi",business-intelligence,Híbrido,madrid,36000.0,54000.0,45000.0,False
técnico de soporte - sistemas logísticos,cbl informática,basauri - bizkaia - españa,,indefinido,"windows, office, helpdesk",business-intelligence,No especificado,basauri - bizkaia,,,,False
microsoft dynamics 365 developer,page personnel,madrid (híbrido),33.000€ - 42.000€ b/a,indefinido,"dynamics 365, power platform, c#",business-intelligence,Híbrido,madrid,33000.0,42000.0,37500.0,False
"dba, cuadros de mando y reporting",grupo digital,león (híbrido),,indefinido,"sql, python, excel",business-intelligence,Híbrido,león,,,,False
senior data analytics - snowflake & power bi,michael page,madrid (híbrido),,indefinido,"power bi, snowflake, sql",business-intelligence,Híbrido,madrid,,,,False
analista de datos para área rrhh (h/m),michael page,navarra - españa,36.000€ - 45.000€ b/a,indefinido,"power bi, excel, sql",business-intelligence,No especificado,navarra,36000.0,45000.0,40500.0,False
técnico/a cau administrador itsm,grupo sermicro,madrid (presencial),,a determinar,"itsm, itil, helix",business-intelligence,Presencial,madrid,,,,False
ingeniero/a de producción,michael page,álava - españa,,indefinido,"lean, office",business-intelligence,No especificado,álava,,,,False
.net developer - senior - ey gds spain - hybrid,ey,málaga (híbrido),,indefinido,.net,business-intelligence,Híbrido,málaga,,,,False
ingeniero/a de calidad senior,page personnel,castellón - españa,,indefinido,"calidad, office, excel",business-intelligence,No especificado,castellón,,,,False
ingeniero/a de producción,page personnel,valencia - españa,27.000€ - 33.000€ b/a,indefinido,"excel, power bi",business-intelligence,No especificado,valencia,27000.0,33000.0,30000.0,False
jefe de proyecto hub digitalización de procesos,cajamar tecnología,almería - españa,,indefinido,"scrum, kanban, pmi",business-intelligence,No especificado,almería,,,,False
senior ai consultant - python / pyspark / aws,globalsysinfo,madrid (híbrido),30.000€ - 54.000€ b/a,indefinido,"aws, pyspark, python",programador,Híbrido,madrid,30000.0,54000.0,42000.0,False
desarrollador/a senior backend java,baoss,alicante - españa,,indefinido,"java, spring",programador,No especificado,alicante,,,,False
desarrollador/a front,serem,100% en remoto,,indefinido,"angular, javascript, sass",programador,En Remoto,100% en remoto,,,,False
fullstack (java/angular),second window,100% en remoto,,indefinido,"java, spring, microservicios",programador,En Remoto,100% en remoto,,,,False
programadores python,seltime,100% en remoto,27.000€ - 33.000€ b/a,indefinido,"python, flask, django",programador,En Remoto,100% en remoto,27000.0,33000.0,30000.0,False
programador/a fullstack java angular,cas training,100% en remoto,24.000€ - 27.000€ b/a,indefinido,"java, spring, typescript",programador,En Remoto,100% en remoto,24000.0,27000.0,25500.0,False
profesional backend java microservicios (remoto),serem,100% en remoto,36.000€ - 36.000€ b/a,indefinido,"java, spring boot, microservicios",programador,En Remoto,100% en remoto,36000.0,36000.0,36000.0,False
developer fullstack .net,social you,100% en remoto,36.000€ - 45.000€ b/a,indefinido,"asp .net, .net core, owasp",programador,En Remoto,100% en remoto,36000.0,45000.0,40500.0,False
desarrollador java / microservicios,arelance,100% en remoto,30.000€ - 36.000€ b/a,indefinido,"java, spring, git",programador,En Remoto,100% en remoto,30000.0,36000.0,33000.0,False
programadores y analistas java,arelance,100% en remoto,30.000€ - 36.000€ b/a,indefinido,"java, sql, git",programador,En Remoto,100% en remoto,30000.0,36000.0,33000.0,False
desarrollador python,social you,100% en remoto,36.000€ - 42.000€ b/a,indefinido,"python, fastapi, postgresql",programador,En Remoto,100% en remoto,36000.0,42000.0,39000.0,False
oportunidades it,social you,madrid (híbrido),36.000€ - 48.000€ b/a,indefinido,"java, microservicios, qa",programador,Híbrido,madrid,36000.0,48000.0,42000.0,False
backend junior,social you,barcelona (híbrido),24.000€ - 30.000€ b/a,indefinido,"python, sql, rpa",programador,Híbrido,barcelona,24000.0,30000.0,27000.0,False
gis python developer,serem,sevilla - españa,30.000€ - 33.000€ b/a,indefinido,"python, javascript, react",programador,No especificado,sevilla,30000.0,33000.0,31500.0,False
software engineer - java / spring boot,cmv consultores,madrid (híbrido),30.000€ - 36.000€ b/a,indefinido,"java, spring boot, springbach",programador,Híbrido,madrid,30000.0,36000.0,33000.0,False
programador de aplicaciones web,5 digital street,sevilla (presencial),,indefinido,"python, sql, docker",programador,Presencial,sevilla,,,,False
ai engineer (3d modeling & computer vision),arelance,100% en remoto,21.000€ - 30.000€ b/a,indefinido,"python, pytorch, computer vision",programador,En Remoto,100% en remoto,21000.0,30000.0,25500.0,False
desarrollador/a fullstack java jsf,digital talent agency,100% en remoto,,indefinido,"java, jsf, rest",programador,En Remoto,100% en remoto,,,,False
desarrollador/a senior fullstack java,digital talent agency,100% en remoto,,indefinido,"java, spring, angular",programador,En Remoto,100% en remoto,,,,False
desarrollador/a react native (inglés alto),cas training,100% en remoto,33.000€ - 36.000€ b/a,indefinido,"react native, graphql, rest apis",programador,En Remoto,100% en remoto,33000.0,36000.0,34500.0,False
desarrollador/a de software c++,cmv consultores,san fernando de henares - madrid (híbrido),39.000€ - 42.000€ b/a,indefinido,"c, c++, emv",programador,Híbrido,san fernando de henares - madrid,39000.0,42000.0,40500.0,False
salesforce developer,cmv consultores,madrid (híbrido),27.000€ - 30.000€ b/a,indefinido,"salesforce service cloud, apex, lwc",programador,Híbrido,madrid,27000.0,30000.0,28500.0,False
desarrollador/a senior oracle apex,grupo digital,granada (híbrido),,indefinido,"oracle, apex",programador,Híbrido,granada,,,,False
desarrollador/a python (automatización),serem,madrid (híbrido),,indefinido,"python, git, bitbucket",programador,Híbrido,madrid,,,,False
desarrollador/a java - microservicios,serem,madrid - españa,,indefinido,"java, microservicios, maven",programador,No especificado,madrid,,,,False
programador/a servicenow,serem,100% en remoto,,indefinido,"servicenow, itsm, javascript",programador,En Remoto,100% en remoto,,,,False
backend developer java,cmv consultores,barcelona (híbrido),,indefinido,"kafka, microservicios, java",programador,Híbrido,barcelona,,,,False
desarrollador/a rpg mainframe,cmv consultores,100% en remoto,,indefinido,"as400, ibm, rpg",programador,En Remoto,100% en remoto,,,,False
desarrolladores backend (node + typescript) + ia,panel sistemas informáticos,100% en remoto,,indefinido,"node.js, typescript, javascript",programador,En Remoto,100% en remoto,,,,False
analista programador java senior,serem,madrid - españa,,indefinido,"java, sql, javascript",programador,No especificado,madrid,,,,False
consultor sap - diferentes módulos,serem,madrid - españa,,indefinido,"sap fi/co, sap mm, sap",programador,No especificado,madrid,,,,False
consultor - programador/a java spring,digital talent agency,madrid (híbrido),,indefinido,"java, spring, oracle",programador,Híbrido,madrid,,,,False
software engineer .net - industrial systems,digital talent agency,burgos - españa,,indefinido,".net, asp.net core, c#",programador,No especificado,burgos,,,,False
desarrollador react native,serem,madrid - españa,,indefinido,"react, react native, ssr",programador,No especificado,madrid,,,,False
as400,arelance,100% en remoto,30.000€ - 39.000€ b/a,indefinido,"cobol400, as400, cl400",programador,En Remoto,100% en remoto,30000.0,39000.0,34500.0,False
desarrollador python,arelance,barcelona (híbrido),30.000€ - 36.000€ b/a,indefinido,"python, fastapi, flask",programador,Híbrido,barcelona,30000.0,36000.0,33000.0,False
fullstack developer (angular / java),serem,barcelona (híbrido),,indefinido,"java, angular, spring boot",programador,Híbrido,barcelona,,,,False
front-end architect,plexus,madrid - españa,,indefinido,"angular, html5, css3",programador,No especificado,madrid,,,,False
senior java aws developer,plexus,madrid (híbrido),,indefinido,"java, spring boot, jpa",programador,Híbrido,madrid,,,,False
java developer sr.-microservices/spring boot,serem,madrid (híbrido),30.000€ - 36.000€ b/a,indefinido,"java, maven, spring",programador,Híbrido,madrid,30000.0,36000.0,33000.0,False
"developer java (oracle, html, css)",serem,madrid (híbrido),24.000€ - 27.000€ b/a,indefinido,"java, spring, oracle",programador,Híbrido,madrid,24000.0,27000.0,25500.0,False
desarrollador/a java,serem,madrid (híbrido),,indefinido,"java, spring, angular",programador,Híbrido,madrid,,,,False
desarrollador java,serem,sevilla - españa,,indefinido,"java, sql, javascript",programador,No especificado,sevilla,,,,False
desarrollador fullstack,randstad es,barcelona - españa,,indefinido,"php, css3, html5",programador,No especificado,barcelona,,,,False
desarrollador/a blue prism + inglés,sopra steria,madrid - españa,,indefinido,"blue prism, rpa",programador,No especificado,madrid,,,,False
backend java senior developer,page personnel,barcelona (híbrido),,indefinido,"java, spring, apis rest",programador,Híbrido,barcelona,,,,False
desarrollador/a apigee,sopra steria,madrid - españa,,indefinido,"apigee, restful",programador,No especificado,madrid,,,,False
ingeniero/a gobierno del dato e ia,arelance,madrid (híbrido),33.000€ - 42.000€ b/a,indefinido,"data, ia, datagovernance",programador,Híbrido,madrid,33000.0,42000.0,37500.0,False
java + react +ia,knowmad mood,100% en remoto,,indefinido,"java, react",programador,En Remoto,100% en remoto,,,,False
fullstack php (laravel) - vue,knowmad mood,madrid (híbrido),,indefinido,"php, laravel, vue",programador,Híbrido,madrid,,,,False
junior front end developer (react/typescript),talan,100% en remoto,,indefinido,"react, typescript",programador,En Remoto,100% en remoto,,,,False
desarrollador vhdl,sopra steria,madrid - españa,,indefinido,"vhdl, doors",programador,No especificado,madrid,,,,False
senior software engineer,factorial,madrid - españa,,indefinido,"ruby, react",programador,No especificado,madrid,,,,False
frontend developer,accenture,girona - españa,,indefinido,"react, javascript, html5",programador,No especificado,girona,,,,False
android developer,accenture,100% en remoto,,indefinido,"kotlin, android",programador,En Remoto,100% en remoto,,,,False
senior fullstack engineer - lending team,ebury,madrid (híbrido),,indefinido,"python, django, node.js",programador,Híbrido,madrid,,,,False
core digital campus - sap developer (f/m/d),airbus,albacete - españa,,indefinido,"sap, hana, fiori",programador,No especificado,albacete,,,,False
"senior java engineer (kafka, grafana, prometheus)",knowmad mood,100% en remoto,,indefinido,"java, kafka, grafana",programador,En Remoto,100% en remoto,,,,False
junior software engineer,ebury,madrid (híbrido),,indefinido,"python, java, go",programador,Híbrido,madrid,,,,False
software engineer for aircraft simulator,airbus,madrid - españa,,indefinido,"c++, python, jenkins",programador,No especificado,madrid,,,,False
senior software engineer (fincore),ebury,málaga (híbrido),,indefinido,"python, jenkins, terraform",programador,Híbrido,málaga,,,,False
ingeniero/a software java,knowmad mood,100% en remoto,,indefinido,"java sql, docker, kubernetes",programador,En Remoto,100% en remoto,,,,False
développeur fullstack java / vue.js,talan,barcelona - españa,,indefinido,"java, spring, spring boot",programador,No especificado,barcelona,,,,False
full stack developer react,knowmad mood,100% en remoto,,indefinido,"java, spring, react",programador,En Remoto,100% en remoto,,,,False
junior artificial intelligence engineer,sg tech,100% en remoto,,indefinido,"python, tensorflow, pytorch",programador,En Remoto,100% en remoto,,,,False
senior java software engineer,santander,madrid - españa,,indefinido,"java, spring boot, quarkus",programador,No especificado,madrid,,,,False
"technical lead (java, microservices)",ust,100% en remoto,,indefinido,"java, spring boot, jpa",programador,En Remoto,100% en remoto,,,,False
technical lead frontend ia,gfr technologies se,madrid - españa,,indefinido,"angular, typescript, html",programador,No especificado,madrid,,,,False
senior software engineer (m/f/d),basf,guadalajara - españa,,indefinido,"angular, .net, c#",programador,No especificado,guadalajara,,,,False
ai engineer (semipresencial),knowmad mood,sevilla (híbrido),,indefinido,"langchain, llamaindex, python",programador,Híbrido,sevilla,,,,False
desarrollador/a ada,sopra steria,madrid - españa,,indefinido,"ada, c",programador,No especificado,madrid,,,,False
programador/a .net,sg tech,sevilla - españa,21.000€ - 39.000€ b/a,indefinido,".net, angular",programador,No especificado,sevilla,21000.0,39000.0,30000.0,False
.net senior / tech lead developer,sg tech,madrid (híbrido),,indefinido,"c#, .net, asp.net core",programador,Híbrido,madrid,,,,False
salesforce technical lead,gfr technologies se,barcelona - españa,,indefinido,salesforce,programador,No especificado,barcelona,,,,False
java backend developer,ey,málaga (híbrido),,indefinido,"java, spring",programador,Híbrido,málaga,,,,False
full stack developer nodejs / angular,ey,málaga (híbrido),,indefinido,"node, angular, typescript",programador,Híbrido,málaga,,,,False
desarrollador/a fullstack java,cas training,málaga (híbrido),,indefinido,"java, angular, kafka",analista-programador,Híbrido,málaga,,,,False
analista funcional banca,arelance,madrid (híbrido),30.000€ - 36.000€ b/a,indefinido,"cobol, cics, jcl",analista-programador,Híbrido,madrid,30000.0,36000.0,33000.0,False
analista programador/a cobol mainframe,sg tech,100% en remoto,,indefinido,"cobol, ims, db2",analista-programador,En Remoto,100% en remoto,,,,False
tech lead m365 (power platform & ai),knowmad mood,madrid (híbrido),,indefinido,"power platform, dataverse, sharepoint",analista-programador,Híbrido,madrid,,,,False
analista programador natural/adabas,arelance,100% en remoto,24.000€ - 30.000€ b/a,indefinido,"adabas, natural",analista-programador,En Remoto,100% en remoto,24000.0,30000.0,27000.0,False
perfil senior fullstack java + ia generativa,digital talent agency,100% en remoto,,indefinido,"java, spring, angular",analista-programador,En Remoto,100% en remoto,,,,False
analista programador/a java,baoss,madrid - españa,,indefinido,"java, spring, oracle",analista-programador,No especificado,madrid,,,,False
backend developer nodejs con inglés,digital talent agency,barcelona (híbrido),,indefinido,"node, javascript, typescript",analista-programador,Híbrido,barcelona,,,,False
analista programador java (team lead),cmv consultores,madrid (híbrido),,indefinido,"java, spring, oracle",analista-programador,Híbrido,madrid,,,,False
analista pl1,baoss,barcelona - españa,,indefinido,pl1,analista-programador,No especificado,barcelona,,,,False
java spring boot y spring mvc developer,panel sistemas informáticos,madrid (presencial),,indefinido,"java, spring boot, mvc",analista-programador,Presencial,madrid,,,,False
analista programador obiee,baoss,100% en remoto,,indefinido,"obiee, odi",analista-programador,En Remoto,100% en remoto,,,,False
senior fullstack angular/nodejs,grupo sermicro,100% en remoto,,indefinido,"node, angular, mongodb",analista-programador,En Remoto,100% en remoto,,,,False
ingeniero c/c++ (sistemas distribuidos),arelance,100% en remoto,42.000€ - 48.000€ b/a,indefinido,"c, c++, python",analista-programador,En Remoto,100% en remoto,42000.0,48000.0,45000.0,False
desarrollador/a react inglés,cas training,madrid (híbrido),30.000€ - 42.000€ b/a,indefinido,"react, javascript, typescript",analista-programador,Híbrido,madrid,30000.0,42000.0,36000.0,False
"desarrollador/ backend java, apx y aso",pss,100% en remoto,24.000€ - 30.000€ b/a,indefinido,"java, apx, aso",analista-programador,En Remoto,100% en remoto,24000.0,30000.0,27000.0,False
analista de desarrollo oracle,arelance,100% en remoto,33.000€ - 36.000€ b/a,indefinido,"pl/sql, oracle, apex",analista-programador,En Remoto,100% en remoto,33000.0,36000.0,34500.0,False
analista programador/a java,second window,madrid (híbrido),,indefinido,"java, jenkins, jpa",analista-programador,Híbrido,madrid,,,,False
programador orientado a back-end,agencia europa press,madrid - españa,,indefinido,"asp.net, .net, web api",analista-programador,No especificado,madrid,,,,False
ingeniero/a backend java springboot,cas training,100% en remoto,,indefinido,"java, springboot, apis rest",analista-programador,En Remoto,100% en remoto,,,,False
desarrollador/a java oracle,cas training,100% en remoto,30.000€ - 42.000€ b/a,indefinido,"java, oracle, sql",analista-programador,En Remoto,100% en remoto,30000.0,42000.0,36000.0,False
programador/a java kafka,cas training,100% en remoto,30.000€ - 48.000€ b/a,indefinido,"java, springboot, apis",analista-programador,En Remoto,100% en remoto,30000.0,48000.0,39000.0,False
analista cobol,digital talent agency,madrid (híbrido),,indefinido,"cobol, jcl, db2",analista-programador,Híbrido,madrid,,,,False
analista programador cobol y jcl,grupo ns,madrid (híbrido),30.000€ - 33.000€ b/a,indefinido,"cobol, banca, db2",analista-programador,Híbrido,madrid,30000.0,33000.0,31500.0,False
ingeniero/a de soporte de pipelines - ci/cd,panel sistemas informáticos,madrid (híbrido),,indefinido,"ci/cd, teamcity, jenkins",analista-programador,Híbrido,madrid,,,,False
analista programador cobol/as400,serem,madrid (híbrido),,indefinido,"cobol, as400",analista-programador,Híbrido,madrid,,,,False
analista programador/a cobol en remoto,digital talent agency,100% en remoto,,indefinido,"cobol, db2, mainframe",analista-programador,En Remoto,100% en remoto,,,,False
programadores java,seltime,100% en remoto,,indefinido,"java, springboot, angular",analista-programador,En Remoto,100% en remoto,,,,False
analista programador/a mainframe cobol-db2,arelance,bilbao - bizkaia - españa,33.000€ - 39.000€ b/a,indefinido,"cobol, db2, mainframe",analista-programador,No especificado,bilbao - bizkaia,33000.0,39000.0,36000.0,False
.net developer - cliente final,page personnel,madrid (híbrido),30.000€ - 42.000€ b/a,indefinido,"c#, .net, apis",analista-programador,Híbrido,madrid,30000.0,42000.0,36000.0,False
java technical architect / senior backend engineer,panel sistemas informáticos,madrid (híbrido),,indefinido,"java, microservicios, spring",analista-programador,Híbrido,madrid,,,,False
desarrollador/a full-stack erp,miroytengo,alquerías del niño perdido - castellón españa,,a determinar,"php, symphony, twig",analista-programador,No especificado,alquerías del niño perdido - castellón españa,,,,False
analista programador/a python (data),inkoova,barcelona (híbrido),,indefinido,"python, sql, git",analista-programador,Híbrido,barcelona,,,,False
desarrollador/a moodle,baoss,100% en remoto,,indefinido,"php, moodle",analista-programador,En Remoto,100% en remoto,,,,False
snowflake developer,panel sistemas informáticos,madrid (híbrido),,indefinido,"snowflake, idmc, sql",analista-programador,Híbrido,madrid,,,,False
analista programador/a full-stack,aubay,barcelona (híbrido),,indefinido,"java, angular",analista-programador,Híbrido,barcelona,,,,False
arquitecto/a soluciones software/sistemas defensa,grupo ns,madrid (híbrido),39.000€ - 54.000€ b/a,indefinido,"naf v4, uaf, mbse",analista-programador,Híbrido,madrid,39000.0,54000.0,46500.0,False
analista programador .net (jornada intensiva),second window,presencial madrid - madrid (presencial),36.000€ - 39.000€ b/a,indefinido,".net, c#, mvc",analista-programador,Presencial,presencial madrid - madrid,36000.0,39000.0,37500.0,False
senior backend developer java,versus e - learning group,bormujos - sevilla - españa,30.000€ - 36.000€ b/a,indefinido,"java, spring boot, microservicios",analista-programador,No especificado,bormujos - sevilla,30000.0,36000.0,33000.0,False
"full stack engineer (react.js, node.js)",page personnel,100% en remoto,60.000€ - 72.000€ b/a,indefinido,"react, typescript, javascript",analista-programador,En Remoto,100% en remoto,60000.0,72000.0,66000.0,False
analista programador/a frontend angular,aubay,barcelona (híbrido),,indefinido,"angular, javascript",analista-programador,Híbrido,barcelona,,,,False
analista programador/a front angular material   re,digital talent agency,100% en remoto,,indefinido,"angular, github, copilot",analista-programador,En Remoto,100% en remoto,,,,False
arquitecto/a de datos,cas training,barcelona (híbrido),30.000€ - 39.000€ b/a,indefinido,"sql, modelado",analista-programador,Híbrido,barcelona,30000.0,39000.0,34500.0,False
desarrollador/a java,cas training,madrid - españa,,indefinido,"java, spring, microservicios",analista-programador,No especificado,madrid,,,,False
