titulo,empresa,ubicacion,salario,tipo_contrato,skills,busqueda
Ingeniero de Migraciones,HAYS,Barcelona (Híbrido),,A determinar,"Oracle, DB2, ETL",base-datos
Técnico soporte SQL,Page Personnel,Barcelona (Híbrido),,Indefinido,"SQL, JIRA",base-datos
PM Transformación Digital Data,Michael Page,Madrid - España,42.000€ - 45.000€ b/a,Indefinido,"data governance, Power BI",base-datos
Big Data IA Researcher Developer (remoto),ZYLK,100% En remoto,,Indefinido,"big data, Linux, Hadoop",big-data
Ingeniero/a de Datos e IA (INGLÉS ALTO),CAS TRAINING,ALCOBENDAS - Madrid (Híbrido),39.000€ - 45.000€ b/a,Indefinido,"COPILOT, GEMINI ENTERPRISES, DAMA",big-data
Senior IBM Cognos / Planning Analytics (TM1),GlobalSysInfo,100% En remoto,30.000€ - 54.000€ b/a,Indefinido,"IBM Planning Analytics, TM1, Cognos",big-data
Ingeniero de Datos - Reporting Regulatorio,Cajamar Tecnología,Almería (Híbrido),,Indefinido,"SQL, ETL",big-data
Analista de Datos,Cajamar Tecnología,Almería (Híbrido),,Indefinido,"SQL, Python, R",big-data
Technical Data Engineering Specialist,Airbus,Madrid - España,,Indefinido,"Python, Google Suite, CATIA",big-data
Big Data Developer,UST,100% En remoto,,Indefinido,"java, pl/sql, javascript",big-data
Senior Data Consultant,Michael Page,Barcelona - España,,Indefinido,data,big-data
Senior Python ETL Developer (Remote),Plexus,100% En remoto,,Indefinido,"Python, ETL, PySpark",big-data
Data Engineers,PANEL Sistemas Informáticos,100% En remoto,,Indefinido,"Spark, Scala, Python",big-data
Consultor/a PowerCenter,Baoss,100% En remoto,24.000€ - 36.000€ b/a,Indefinido,"PowerCenter, Qlikview, ETL",big-data
Manager de Cloud & IT Services,Serem,Madrid (Híbrido),,Indefinido,"cloud, AWS, AZURE",cloud
Desarrollador Node.js / Angular / Cloud Native,PANEL Sistemas Informáticos,100% En remoto,,Indefinido,"Expressjs, Nodejs, Typescript",cloud
Salesforce Commerce Cloud - Funcional,HAYS,100% En remoto,,A determinar,"Salesforce Commerce Cloud, SFCC, JavaScript",cloud
SALESFORCE Commerce cloud - Técnico,HAYS,100% En remoto,,A determinar,"Salesforce Commerce Cloud, SFCC Script, HTML",cloud
QA Canales Asistidos (Genesys Cloud /Chat/Chatbot),PANEL Sistemas Informáticos,100% En remoto,,Indefinido,"Branch, Teller, Contact Center",cloud
Infrastructure & Operations Cloud Architect,PANEL Sistemas Informáticos,100% En remoto,,Indefinido,"AWS, ControlTower, IAM",cloud
"Consultor/a - ISO/IEC 27001, Redes, IAM, Cloud.",Baoss,Madrid - España,,Indefinido,"ISO/IEC 27001, ENS, Redes",cloud
Cloud & On-Prem Engineer,WayOps,Madrid - España,,Indefinido,"AWS, Terraform, CloudFormation",cloud
AI Architect (Cloud Technologies),Deloitte,Madrid - España,,Indefinido,"Google Cloud, Vertex AI, BigQuery",cloud
Salesforce Marketing Cloud Engineer,FeverUp,Madrid (Híbrido),,Indefinido,Salesforce Marketing Cloud,cloud
Google Cloud DevOps Engineer,Devoteam,Madrid - España,,Indefinido,"Google Cloud, IaC, Terraform",cloud
Salesforce Marketing Cloud Consultant,Accenture,Madrid - España,,Indefinido,Salesforce Marketing Cloud,cloud
Ingeniero/a Cloud (Remoto),Alcorce Telecomunicaciones,100% En remoto,,Indefinido,"cloud, AWS, Azure",cloud
Ingeniero/a de Seguridad Cloud,Grupo SIA,100% En remoto,,Indefinido,"Cloud, Seguridad, unix",cloud
Tech Lead CRM & Marketing Automation,Baoss,Madrid (Híbrido),,Indefinido,"Salesforce Marketing Cloud, CRM",cloud
Analista Funcional BackOffice - Tolling,CMV Consultores,100% En remoto,,Indefinido,"microservicios, cloud, API",cloud
Senior Consultant / IT Manager,Plexus,Madrid - España,,Indefinido,"FinOps, cloud",cloud
Salesforce Manager,Michael Page,Barcelona (Híbrido),,Indefinido,"Salesforce, Sales Cloud, Service Cloud",cloud
EMEA CRM Senior Manager - PageGroup SSC,Michael Page,Barcelona (Híbrido),,Indefinido,Salesforce Marketing Cloud,cloud
Director/a IT (Compañía SW Industrial),Michael Page,Valencia - España,,Indefinido,"PLC, SIEMENS, HMI",cloud
EMEA CRM Senior Manager - PageGroup SSC,Page Personnel,Barcelona (Híbrido),,Indefinido,Salesforce Marketing Cloud,cloud
Jefe/a de Proyecto Sistemas,Digital Talent Agency,Asturias (Híbrido),,Indefinido,"sistemas, cloud",cloud
Comercial IT,HAYS,Bizkaia (Híbrido),,Indefinido,"Cloud, Ciberseguridad, Redes",cloud
Administrador/a de sistemas,Sosmatic,Loeches - Madrid (Presencial),,Indefinido,"windows, linux, nagios",cloud
Kafka Engineer,Baoss,Madrid (Híbrido),,Indefinido,"Kafk, APIs, Cloud",cloud
Backend Developers - Node.js,Baoss,Madrid - España,,Indefinido,"NodeJS, Sinon, Chai",cloud
Técnico/a Infraestructura,Inkoova,Madrid (Presencial),,Indefinido,"CPDs, redes, sistemas",cloud
Responsable IT,HAYS,Navarra - España,,Indefinido,"ERP, CRM, Cloud",cloud
Technical Lead,,Alicante (Híbrido),45.000€ - 48.000€ b/a,Indefinido,"Gravitee, WSO2, AWS",cloud
Analista Programador ORACLE EBS y APEX,Sedecal,Algete - Madrid (Híbrido),45.000€ - 54.000€ b/a,Indefinido,"Oracle, APEX, Oracle Forms",cloud
Arquitecto de Soluciones BBVA,PANEL Sistemas Informáticos,100% En remoto,,Indefinido,"Microservicios, Java, Spring Boot",cloud
Tech Risk IT Auditor (German speaker),EY,Málaga - España,,Indefinido,"SAP, Oracle, Dynamics",cloud
"Data, Analytics & AI",Accenture,A Coruña - España,,Indefinido,"Data, Big Data, Cloud",cloud
DevOps Engineer,Deloitte,Madrid - España,,Indefinido,"Terraform, CloudFormation, Jenkins",cloud
Functional Lead Oracle Fusion,Accenture,Málaga - España,,Indefinido,"Oracle Fusion Cloud, Oracle Cloud, Oracle PPM",cloud
SAP BI/BW and SAC Analytics Cloud Consultant,EY,Málaga (Híbrido),,Indefinido,"sap, hana",cloud
Cloud Operations Engineer,Michael Page,Barcelona - España,,Indefinido,"Azure, VMware, Terraform",cloud
SAP Basis Consultant SAP RISE & Cloud,Grupo Digital,100% En remoto,,Indefinido,"sap basis, sap rise, hana",cloud
Mobile Developer (Java/Kotlin),HAYS,Barcelona (Híbrido),,Indefinido,"java, Kotlin, Swift",mobile
Senior Mobile Engineer (F/M/D),Axpo Group,Madrid (Híbrido),,Indefinido,"react, TypeScript, HTML5",mobile
Senior Software Engineer - Mobile,Factorial,Barcelona - España,,Indefinido,React,mobile
Senior QA Automation Engineer,Seltime,100% En remoto,,Indefinido,"Java, Selenium, Appium",mobile
Developer Android/IOS - Technical Product Owner,Plexus,Madrid (Híbrido),,Indefinido,"android, ios",mobile
Android Develper,HAYS,Barcelona - España,,Indefinido,"Android, Kotlin, Java",mobile
Java Backend Developer,Upify,Acalá De Henares - Madrid España,,Indefinido,"Java, Servlets, Spring",mobile
Android Engineer - Platform,Wallapop,Barcelona - España,,Indefinido,"Kotlin, Android",mobile
Technical Product Owner (Banca),UST,100% En remoto,,Indefinido,"agile, api, jira",mobile
Senior Frontend Engineer,FeverUp,Madrid - España,,Indefinido,python,mobile
Software/Engineer Manager,Plexus,100% En remoto,,Indefinido,"ios, android",mobile
Software Development Engineer,Amazon,Madrid - España,,Indefinido,"React Native, Java, React",mobile
Global head of Omnichannel Platforms,Michael Page,Madrid - España,,Indefinido,Marketing,mobile
Senior Test Engineer (f/m/d),Axpo Group,Madrid (Híbrido),,Indefinido,"React, TypeScript, Java",mobile
Cyber Security Analyst,Cognizant Technology Solutions,Barcelona (Híbrido),,Indefinido,Ciberseguridad,mobile
iOS (SWIFT) Developer,HAYS,Valencia (Híbrido),39.000€ - 48.000€ b/a,Indefinido,"ios, swift, git",mobile
Becas verano Ingeniería Aeroespacial 2026,GMV,Madrid (Híbrido),,Prácticas,"software, Algoritmos, Guiado",software
Técnico/a CAU,Grupo Sermicro,Villamayor - Salamanca (Híbrido),,A determinar,"Software, Hardware, Ticketing",software
Help Desk 100% remoto / Catalán bilingüe,PSS,100% En remoto,16.000€ - 18.000€ b/a,Indefinido,"Windows, Redes, Hardware",software
Coordinador/a Informática,Grupo Sermicro,Ceuta (Presencial),,A determinar,"Hardware, Software",software
Técnico/a microinformático/a,The Adecco Group,Sant Cugat Del Vallès - Barcelona España,,Temporal,"microinformática, Software, Hardware",software
Software Engineer - COBOL / DB2,CMV Consultores,100% En remoto,30.000€ - 45.000€ b/a,Indefinido,"COBOL, DB2, SQL",software
Ingeniero de software Embebido,Sedecal,Algete - Madrid (Híbrido),42.000€ - 54.000€ b/a,Indefinido,"C, C++, microcontroladores",software
Software Engineer (Node.js),Michael Page,100% En remoto,33.000€ - 54.000€ b/a,Indefinido,"Node, API, Python",software
Ingeniero/a de software embebido,GMV,Madrid (Híbrido),,Indefinido,"Xilinx, MPSoC, FPGA",software
Software Engineer (Python / Angular),EY,Málaga - España,,Indefinido,"Python, Node.js, Angular",software
Ingeniero/a de Software (Java),GMV,Madrid (Híbrido),,Indefinido,"Java, Git, UNIX",software
Software Engineer Java | Teletrabajo,knowmad mood,100% En remoto,,Indefinido,"java, spring",software
Aerial Delivery Software Engineer,Airbus,Madrid (Híbrido),,Indefinido,"C, C++, RTCA",software
Ingeniero/a de Software Embebido C/C++,GMV,Madrid (Híbrido),,Indefinido,"C, C++, Python",software
Ingeniero/a software C++ simuladores,GMV,Madrid (Híbrido),,Indefinido,"C++, Linux, UML",software
Ingeniero de Software .NET,Sedecal,Algete - Madrid (Híbrido),48.000€ - 54.000€ b/a,Indefinido,".net, C#, azure",software
Software Developer Java + PHP,knowmad mood,100% En remoto,,Indefinido,"java, spring, PHP",software
Desarrollador/a de Software .NET Senior,knowmad mood,100% En remoto,,Indefinido,".net, C#, .NET Core",software
Simulation Software Engineer - Eurofighter Flight,Airbus,Madrid - España,,Indefinido,"C++, Ada, QML",software
Embedded Software Engineer,Airbus,Madrid - España,,Indefinido,"C, C++, Ada",software
Software Development Manager,Amazon,Madrid - España,,Indefinido,"Bedrock, SageMaker",software
Senior Software Engineer - Linux Kernel / GPU,Datadog,Madrid - España,,Indefinido,"Linux, GPU",software
Senior Software Engineer (Ruby/RoR),Workato,Barcelona - España,,Indefinido,Ruby,software
"Software Engineer, Python",Bitpanda,Barcelona - España,,Indefinido,"Python, FastAPI",software
"Software Development Engineer, RBKS DSO EU",Amazon,Madrid - España,,Indefinido,"microservices, testing, generative AI",software
Software Engineer Java + Elasticsearch,knowmad mood,100% En remoto,,Indefinido,"java, Elasticsearch, Spring",software
Senior Software Engineer Backend (Java/Kotlin),Aubay,Barcelona (Híbrido),,Indefinido,"Java, Kotlin, Spring",software
Ingeniero/a de Software de IA,GMV,Madrid (Híbrido),,Indefinido,"Inteligencia Artificial, IA, LLM",software
Software Requirements and Test Engineer,Airbus,Madrid - España,,Indefinido,"C, C++, Ada",software
Ingeniero/a de software embebido C/C++,GMV,Madrid (Híbrido),,Indefinido,"C, C++, Python",software
Senior Software Engineer for EuroDrone Offboard,Airbus,Madrid (Híbrido),,Indefinido,"Python, C++, Java",software
Responsable Software Factory,Accuro Technology,Las Rozas - Madrid (Híbrido),42.000€ - 48.000€ b/a,Indefinido,"Microsoft, Java",software
Ingeniero/a de Software embarcado,GMV,Madrid (Híbrido),,Indefinido,"C, C++, SVF",software
Desarrollador de software .NET,GMV,Madrid (Híbrido),,Indefinido,".NET, C#, API",software
Ingeniero/a Software de Python,GMV,Madrid (Híbrido),,Indefinido,"Python, Fortran, JavaScript",software
International Software Manager,Michael Page,Valencia (Híbrido),,Indefinido,C++,software
Software Engineer Team Lead - Tech,cdmon,Malgrat de Mar - Barcelona (Híbrido),48.000€ - 72.000€ b/a,Indefinido,"PHP, Laravel, Go",software
Software Engineer Java - Sector Bancario,knowmad mood,100% En remoto,,Indefinido,"java, spring",software
Ingeniero/a Software - Python Flight Dynamics,GMV,Madrid (Híbrido),,Indefinido,"Python, Fortran, JavaScript",software
Software Engineer Python - Lynx,Santander,Madrid - España,,Indefinido,"Python, SQL",software
Programador/a Software Embebido,HAYS,Málaga (Presencial),,Indefinido,"C#, C, C++",software
Responsable Técnico de Software Java,Indra,Torrejón de Ardoz - Madrid (Híbrido),,Indefinido,"Angular, Java",software
"Sr. Software Dev Engineer, Books Search",Amazon,Madrid - España,,Indefinido,"Java, C++, C#",software
IA Software Engineer,Aubay,Barcelona (Híbrido),,Indefinido,"Python, React, LLMs",software
Software Developer Java y React,Baoss,Sevilla - España,,Indefinido,"Java, React, Spring",software
Desarrollador/a C# .NET,Sopra Steria,Barcelona - España,,Indefinido,".net, C#, Web API",web
"Desarrollador Senior (.NET, Angular/React)",GMV,Madrid (Híbrido),,Indefinido,".NET, Angular, React",web
Desarrollador ASP.NET Core (Razor),Avalon Cloud,Palma de Mallorca - Baleares (Híbrido),,Indefinido,"ASP.NET Core, Razor Pages, C#",web
Go Developer,HAYS,Barcelona (Híbrido),30.000€ - 36.000€ b/a,Indefinido,"Go, Java, Web Services",web
Desarrollador/a Back-end Java,Seidorcons,Barcelona - España,,Indefinido,"Java, Spring, WebFlux",web
Senior QA Automation Engineer (Java),EPAM,Madrid - España,,Indefinido,"QA, Selenium, WebDriver",web
"Platform Engineer (DevOps, Cloud)",CIB labs,100% En remoto,,Indefinido,"Kubernetes, Amazon Web Services, Linux",web
Arquitecto técnico Sailpoint,Grupo SIA,100% En remoto,,Indefinido,"IAM, Novell Identity Manager, Sailpoint",web
Senior SDET Web (TypeScript),PANEL Sistemas Informáticos,100% En remoto,,Indefinido,"Typescript, Selenium, Playwright",web
"PHP, Angular Web Analyst",Plexus,Madrid - España,,Indefinido,"PHP, Angular",web
SEM & Performance Marketing Specialist,Social You,100% En remoto,27.000€ - 33.000€ b/a,Indefinido,"Google Ads, SEM, GA4",web
SAP Analytics Consultant,Accenture,Madrid - España,,Indefinido,"SAP, SAP BW",web
Analista Funcional Moodle,Baoss,Sevilla - España,,Indefinido,Moodle,web
Frontend Developer (React / Next.js),knowmad mood,100% En remoto,,Indefinido,"react, JavaScript, Next",web
Salesforce Developer,GFR Technologies SE,Barcelona - España,,Indefinido,"Salesforce, APEX",web
Product Marketing Manager,Michael Page,Zaragoza - España,,Indefinido,"SEO, SEM, Marketing",web
Product Manager Digital (Banca / Pagos),Grupo Digital,Barcelona (Híbrido),,Indefinido,"product manager, jira, Confluence",web
Desarrollador/a .NET (Angular + Entity Framework),Arelance,Madrid (Presencial),,Indefinido,".NET, Angular, Entity Framework",web
Programador/a .NET,INZACARD,Zaragoza,,Indefinido,".NET, VB.NET, SQL Server",web
Desarrollador,Gisgal,A Coruña (Presencial),24.000€ - 36.000€ b/a,Indefinido,"JavaScript, Node.js, React",web
